source,target
AT2G37040,AT1G51680
AT2G37040,AT2G30490
AT2G30490,AT1G51680
AT1G51680,AT2G30490
AT1G15950,AT1G30760
AT1G30760,AT1G05240
AT1G30760,AT3G50740
AT3G50740,AT1G05240
AT2G40890,AT2G19070
AT2G40890,AT2G19070
AT2G40890,AT2G19070
AT2G40890,AT2G19070
AT1G51680,AT5G54160
AT1G51680,AT2G19070
AT2G19070,AT1G51680
AT1G51680,AT1G15950
AT1G51680,AT1G24735
AT1G15950,AT2G19070
AT1G24735,AT2G19070
AT2G19070,AT1G15950
AT2G19070,AT1G24735
AT1G24735,AT1G15950
AT1G15950,AT1G72680
AT5G54160,AT1G15950
AT5G54160,AT1G72680
AT5G54160,AT1G72680
AT1G51680,AT5G54160
AT3G24503,AT5G54160
AT4G36220,AT5G54160
AT3G24503,AT1G51680
AT4G36220,AT1G51680
AT3G24503,AT4G36220
AT1G51680,AT1G24735
AT1G51680,AT1G15950
AT1G24735,AT1G15950
AT3G24503,AT1G15950
AT5G54160,AT1G15950
AT1G30760,AT1G15950
AT4G36220,AT1G15950
AT3G24503,AT5G54160
AT3G24503,AT1G30760
AT3G24503,AT4G36220
AT1G30760,AT5G54160
AT4G36220,AT5G54160
AT4G36220,AT1G30760
AT1G30760,AT5G54160
AT1G30760,AT1G05240
AT1G30760,AT3G50740
AT4G36220,AT1G30760
AT5G54160,AT1G05240
AT5G54160,AT3G50740
AT4G36220,AT5G54160
AT1G05240,AT3G50740
AT4G36220,AT1G05240
AT4G36220,AT3G50740
AT4G36220,AT1G51680
AT4G36220,AT5G54160
AT5G54160,AT1G51680
AT1G51680,AT1G15950
AT1G24735,AT1G51680
AT1G24735,AT1G15950
AT4G36220,AT1G15950
AT1G15950,AT1G30760
AT5G54160,AT1G15950
AT4G36220,AT1G30760
AT4G36220,AT5G54160
AT5G54160,AT1G30760
AT4G36220,AT1G30760
AT1G30760,AT1G05240
AT5G54160,AT1G30760
AT4G36220,AT1G05240
AT4G36220,AT5G54160
AT5G54160,AT1G05240
AT3G24503,AT5G54160
AT5G54160,AT1G51680
AT5G54160,AT3G21560
AT3G24503,AT1G51680
AT3G24503,AT3G21560
AT1G51680,AT3G21560
AT1G24735,AT1G51680
AT1G51680,AT1G15950
AT1G24735,AT1G15950
AT3G24503,AT1G15950
AT5G54160,AT1G15950
AT1G15950,AT1G30760
AT3G24503,AT5G54160
AT3G24503,AT1G30760
AT5G54160,AT1G30760
AT5G54160,AT1G30760
AT1G30760,AT1G05240
AT1G30760,AT3G50740
AT5G54160,AT1G05240
AT5G54160,AT3G50740
AT1G05240,AT3G50740
AT2G22990,AT3G21560
AT3G21560,AT5G09640
AT2G22990,AT5G09640
AT1G51680,AT1G15950
AT1G51680,AT2G30490
AT1G15950,AT2G30490
AT2G19070,AT1G51680
AT2G19070,AT2G30490
AT2G19070,AT1G15950
AT2G19070,AT2G19070
AT1G51680,AT2G30490
AT1G51680,AT1G15950
AT1G51680,AT2G19070
AT2G30490,AT1G15950
AT2G30490,AT2G19070
AT1G15950,AT2G19070
AT1G74540,AT1G67990
AT1G52760,AT2G19070
AT1G52760,AT2G40890
AT1G52760,AT1G51680
AT1G52760,AT5G54160
AT1G51680,AT1G55290
AT1G24735,AT1G55290
AT1G15950,AT1G55290
AT3G55120,AT5G13930
AT3G51240,AT3G55120
AT5G08640,AT3G51240
AT5G07990,AT3G55120
AT3G51240,AT3G55120
AT5G07990,AT3G51240
AT5G07990,AT3G51240
AT3G51240,AT5G42800
AT5G07990,AT5G42800
AT5G07990,AT3G55120
AT5G07990,AT3G51240
AT3G51240,AT3G55120
AT5G07990,AT3G51240
AT3G51240,AT5G42800
AT5G07990,AT5G42800
AT5G07990,AT3G55120
AT5G42800,AT3G55120
AT3G51240,AT3G55120
AT5G07990,AT5G42800
AT5G07990,AT3G51240
AT3G51240,AT5G42800
AT5G07990,AT3G51240
AT3G51240,AT5G08640
AT4G22870,AT3G51240
AT3G51240,AT5G42800
AT5G07990,AT5G08640
AT4G22870,AT5G07990
AT5G07990,AT5G42800
AT4G22870,AT5G08640
AT5G42800,AT5G08640
AT4G22870,AT5G42800
AT1G61720,AT4G22870
AT5G07990,AT5G08640
AT2G40890,AT2G19070
AT2G40890,AT2G19070
AT2G40890,AT2G19070
AT2G40890,AT2G19070
AT2G19070,AT1G24735
AT2G19070,AT5G13930
AT5G13930,AT1G24735
AT2G19070,AT1G24735
AT2G19070,AT5G13930
AT5G07990,AT5G42800
AT5G07990,AT3G51240
AT3G51240,AT5G42800
AT5G07990,AT3G51240
AT4G22870,AT3G51240
AT3G51240,AT5G42800
AT3G51240,AT5G08640
AT4G22870,AT5G07990
AT5G07990,AT5G42800
AT5G07990,AT5G08640
AT4G22870,AT5G08640
AT5G42800,AT5G08640
AT5G07990,AT5G08640
AT4G22870,AT5G42800
AT1G61720,AT4G22870
AT5G13930,AT1G24735
AT3G51240,AT5G08640
AT3G51240,AT5G42800
AT5G42800,AT5G08640
AT4G22870,AT5G42800
AT1G61720,AT4G22870
AT2G30490,AT5G13930
AT2G19070,AT2G30490
AT2G19070,AT2G30490
AT5G13930,AT3G55120
AT5G13930,AT2G30490
AT5G13930,AT2G19070
AT5G13930,AT2G19070
AT2G30490,AT5G13930
AT5G13930,AT5G13930
AT2G19070,AT5G13930
AT2G19070,AT5G13930
AT5G13930,AT3G55120
AT4G24730,AT1G01610
AT1G01610,AT4G24730
AT3G10370,AT4G24730
AT2G40690,AT4G24730
AT1G01610,AT1G01610
AT3G10370,AT1G01610
AT2G40690,AT1G01610
AT1G01610,AT3G10370
AT1G01610,AT2G40690
AT1G12640,AT1G01610
AT1G52570,AT1G12640
AT1G15080,AT1G12640
AT2G18730,AT1G12640
AT1G52570,AT1G12640
AT1G12640,AT1G62430
AT1G15080,AT1G52570
AT2G18730,AT1G52570
AT1G52570,AT1G62430
AT1G15080,AT1G52570
AT1G15080,AT1G62430
AT2G18730,AT1G52570
AT2G18730,AT1G62430
AT1G52570,AT1G62430
AT1G68000,AT1G62430
AT1G68000,AT2G39290
AT1G68000,AT4G04870
AT1G62430,AT2G39290
AT1G62430,AT4G04870
AT2G39290,AT4G04870
AT3G58830,AT2G39290
AT3G58830,AT4G04870
AT2G44810,AT4G16700
AT1G15110,AT2G44810
AT2G44810,AT2G06925
AT1G07230,AT2G06925
AT2G06925,AT1G80860
AT2G06925,AT1G52570
AT1G12640,AT2G44810
AT1G12640,AT1G07230
AT1G12640,AT1G80860
AT1G12640,AT1G52570
AT1G07230,AT2G44810
AT2G44810,AT1G80860
AT2G44810,AT1G52570
AT1G07230,AT1G80860
AT1G07230,AT1G52570
AT1G52570,AT1G80860
AT1G07230,AT1G13560
AT1G07230,AT1G07230
AT1G07230,AT2G18730
AT1G07230,AT1G15080
AT2G18730,AT1G13560
AT1G15080,AT1G13560
AT2G18730,AT1G07230
AT1G15080,AT1G07230
AT2G06925,AT1G07230
AT1G07230,AT1G12640
