source,target
AT5G46330,AT1G01340
AT1G01360,AT1G07430
AT1G01360,AT1G07430
AT5G08470,AT1G03000
AT1G03630,AT3G56940
AT5G18660,AT1G03630
AT5G18660,AT1G03630
AT5G18660,AT1G03630
AT1G19670,AT1G03630
AT3G51820,AT1G03630
AT1G44446,AT1G03630
AT1G03630,AT1G44000
AT2G26070,AT1G04310
AT1G04310,AT5G03730
AT1G04310,AT5G03730
AT1G07890,AT3G47930
AT1G07890,AT1G63940
AT1G07890,AT1G32300
AT1G55560,AT1G07890
AT3G47930,AT1G07890
AT1G19550,AT1G07890
AT1G08090,AT1G37130
AT1G37130,AT1G08090
AT2G15620,AT1G08090
AT1G08550,AT4G25700
AT1G08550,AT5G67030
AT1G08550,AT5G67030
AT1G31800,AT1G08550
AT1G14920,AT1G09530
AT1G09530,AT2G18790
AT1G09530,AT1G09570
AT1G09570,AT1G09570
AT1G09530,AT1G09570
AT5G42650,AT1G13280
AT1G09400,AT1G13280
AT2G19830,AT1G15130
AT5G20990,AT1G16540
AT1G17260,AT1G01050
AT1G66410,AT1G18150
AT5G40440,AT1G18150
AT1G18150,AT1G09090
AT5G61380,AT1G22770
AT1G22770,AT5G15840
AT1G19850,AT1G23160
AT1G27320,AT1G03430
AT1G29260,AT5G56290
AT1G52340,AT1G30100
AT1G52340,AT1G30100
AT2G43790,AT1G32640
AT1G32640,AT2G26020
AT1G32640,AT3G12500
AT1G32640,AT5G24770
AT1G17380,AT1G32640
AT1G34245,AT2G26330
AT1G44446,AT1G19670
AT1G44446,AT3G51820
AT1G44446,AT4G13250
AT5G18660,AT1G44446
AT1G44446,AT3G51820
AT1G44446,AT1G19670
AT1G44446,AT1G03630
AT1G44000,AT1G44446
AT1G01090,AT1G48030
AT1G34430,AT1G48030
AT4G26910,AT1G48030
AT1G48030,AT3G55410
AT1G48030,AT1G01090
AT1G48030,AT1G34430
AT1G11860,AT1G48030
AT2G26080,AT1G48030
AT1G48030,AT1G21400
AT1G48030,AT3G06850
AT1G21400,AT1G48030
AT1G48030,AT3G06850
AT1G48030,AT1G21400
AT1G48030,AT3G06850
AT1G48030,AT1G01090
AT1G34430,AT1G48030
AT1G21400,AT1G48030
AT1G48030,AT3G06850
AT5G62530,AT1G65960
AT1G48470,AT1G65960
AT5G53460,AT1G65960
AT1G51720,AT1G65960
AT3G03910,AT1G65960
