source,source_type,target,target_type
AT3G01260,gene,AT1G47840,gene
AT1G47840,gene,AT3G01260,gene
AT4G24620,gene,AT1G47840,gene
AT1G47840,gene,AT3G01590,gene
AT4G24620,gene,AT3G01590,gene
AT4G24620,gene,AT1G47840,gene
AT4G24620,gene,AT3G01590,gene
AT4G24620,gene,AT1G23190,gene
AT3G01590,gene,AT1G47840,gene
AT4G24620,gene,AT1G47840,gene
AT1G23190,gene,AT1G47840,gene
AT1G23190,gene,AT3G01590,gene
AT1G23190,gene,AT4G24620,gene
AT1G43670,gene,AT4G24620,gene
AT2G22480,gene,AT4G24620,gene
AT2G01140,gene,AT1G43670,gene
AT2G01140,gene,AT2G22480,gene
AT2G21170,gene,AT2G01140,gene
AT1G13440,gene,AT1G56190,gene
AT1G22170,gene,AT1G56190,gene
AT1G74030,gene,AT1G22170,gene
AT1G01090,gene,AT1G34430,gene
AT4G33070,gene,AT1G01090,gene
AT1G01090,gene,AT1G48030,gene
AT1G34430,gene,AT1G48030,gene
AT4G33070,gene,AT1G22430,gene
AT4G33070,gene,AT2G37790,gene
AT1G23800,gene,AT4G33070,gene
AT1G23800,gene,AT1G22430,gene
AT1G23800,gene,AT2G37790,gene
AT1G32440,gene,AT1G74030,gene
AT1G43670,gene,AT4G24620,gene
AT2G22480,gene,AT4G24620,gene
AT4G17260,gene,AT1G32440,gene
AT1G01090,gene,AT1G32440,gene
AT4G33070,gene,AT1G32440,gene
AT1G01090,gene,AT4G17260,gene
AT4G33070,gene,AT4G17260,gene
AT1G47840,gene,AT4G24620,gene
AT1G56190,gene,AT2G24270,gene
AT1G22170,gene,AT2G24270,gene
AT1G74030,gene,AT4G37870,gene
AT4G37870,gene,AT1G32440,gene
AT1G01090,gene,AT4G33070,gene
AT1G01090,gene,AT4G33070,gene
AT2G21170,gene,AT1G13440,gene
AT2G21170,gene,AT2G24270,gene
AT1G13440,gene,AT2G24270,gene
AT2G01140,gene,AT2G21170,gene
AT2G01140,gene,AT1G13440,gene
AT2G01140,gene,AT2G24270,gene
AT1G01090,gene,AT4G33070,gene
AT3G16910,gene,AT1G23800,gene
AT3G16910,gene,AT1G34430,gene
AT1G56190,gene,AT1G09780,gene
AT2G24270,gene,AT1G09780,gene
AT1G09780,gene,AT1G74030,gene
AT1G22170,gene,AT1G09870,gene
AT1G09780,gene,AT1G09870,gene
AT1G09870,gene,AT1G74030,gene
AT1G12000,gene,AT4G24620,gene
AT1G12000,gene,AT4G24620,gene
AT1G12000,gene,AT2G01140,gene
AT4G15530,gene,AT1G74030,gene
AT4G15530,gene,AT4G37870,gene
AT4G15530,gene,AT4G17260,gene
AT4G15530,gene,AT1G01090,gene
AT4G15530,gene,AT4G33070,gene
AT1G34430,gene,AT2G42790,gene
AT1G34430,gene,AT1G09430,gene
AT1G04410,gene,AT1G09430,gene
AT1G04410,gene,AT2G42790,gene
AT1G04410,gene,AT4G37870,gene
AT1G09430,gene,AT4G37870,gene
AT2G42790,gene,AT4G37870,gene
AT1G04410,gene,AT2G47510,gene
AT2G47510,gene,AT2G18450,gene
AT2G18450,gene,AT2G20420,gene
AT2G18450,gene,AT2G20420,gene
AT2G20420,gene,AT4G26910,gene
AT2G20420,gene,AT4G26910,gene
AT4G26910,gene,AT3G55410,gene
AT4G26910,gene,AT1G48030,gene
AT1G48030,gene,AT3G55410,gene
AT3G55410,gene,AT1G32480,gene
AT3G55410,gene,AT1G54340,gene
AT1G32480,gene,AT1G54340,gene
AT2G05710,gene,AT1G54340,gene
AT2G05710,gene,AT1G32480,gene
AT1G54340,gene,AT1G32480,gene
AT2G42790,gene,AT2G05710,gene
AT1G09430,gene,AT2G05710,gene
AT1G48030,gene,AT1G01090,gene
AT1G01090,gene,AT1G01090,gene
AT1G34430,gene,AT1G01090,gene
AT1G48030,gene,AT1G34430,gene
AT1G64190,gene,AT1G13700,gene
AT1G13700,gene,AT2G16790,gene
AT1G64190,gene,AT2G16790,gene
AT1G13700,gene,AT1G09420,gene
AT4G24620,gene,AT1G09420,gene
AT1G63290,gene,AT1G64190,gene
AT1G71100,gene,AT1G64190,gene
AT1G71100,gene,AT1G63290,gene
AT2G45290,gene,AT1G71100,gene
AT1G17160,gene,AT1G71100,gene
AT1G71100,gene,AT1G23190,gene
AT1G32380,gene,AT1G71100,gene
AT1G17160,gene,AT2G45290,gene
AT2G45290,gene,AT1G23190,gene
AT1G32380,gene,AT2G45290,gene
AT1G17160,gene,AT1G23190,gene
AT1G32380,gene,AT1G17160,gene
AT1G32380,gene,AT1G23190,gene
AT2G45290,gene,AT1G12230,gene
AT2G45290,gene,AT1G12230,gene
AT2G45290,gene,AT4G24620,gene
AT2G22480,gene,AT4G24620,gene
AT1G43670,gene,AT4G24620,gene
AT2G45290,gene,AT2G22480,gene
AT2G45290,gene,AT1G43670,gene
AT2G01140,gene,AT2G22480,gene
AT2G01140,gene,AT1G43670,gene
AT2G45290,gene,AT2G01140,gene
AT1G43670,gene,AT1G12230,gene
AT2G22480,gene,AT1G12230,gene
AT2G45290,gene,AT1G12230,gene
AT4G24620,gene,AT1G12230,gene
AT2G45290,gene,AT1G63290,gene
AT1G63290,gene,AT2G45290,gene
AT2G01140,gene,AT2G45290,gene
AT2G01140,gene,AT1G12230,gene
AT2G45290,gene,AT1G12230,gene
AT1G12230,gene,AT2G45290,gene
AT1G13700,gene,AT1G64190,gene
AT1G64190,gene,AT2G16790,gene
AT1G71100,gene,AT1G64190,gene
AT1G63290,gene,AT1G64190,gene
AT4G24620,gene,AT1G09420,gene
AT1G09420,gene,AT1G13700,gene
AT4G24620,gene,AT1G12000,gene
AT1G12000,gene,AT2G45290,gene
AT1G12000,gene,AT2G01140,gene
AT1G12230,gene,AT1G12000,gene
AT1G02810,gene,AT1G04680,gene
AT1G05650,gene,AT1G02810,gene
AT1G05650,gene,AT1G02810,gene
AT1G05650,gene,AT1G04680,gene
AT1G05650,gene,AT1G04680,gene
AT1G02790,gene,AT1G05650,gene
AT1G05650,gene,AT1G02790,gene
AT3G01640,gene,AT5G52560,gene
AT1G26570,gene,AT5G52560,gene
AT3G03250,gene,AT1G26570,gene
AT5G49650,gene,AT5G57655,gene
AT1G63290,gene,AT5G49650,gene
AT2G21370,gene,AT1G63290,gene
AT3G01640,gene,AT2G37790,gene
AT5G51970,gene,AT5G57655,gene
AT5G51970,gene,AT1G47840,gene
AT5G51970,gene,AT1G06020,gene
AT5G57655,gene,AT1G47840,gene
AT5G57655,gene,AT1G06020,gene
AT1G07110,gene,AT2G22480,gene
AT1G07110,gene,AT1G12000,gene
AT1G07110,gene,AT1G43670,gene
AT1G07110,gene,AT1G67070,gene
AT1G47840,gene,AT1G07110,gene
AT1G06020,gene,AT1G07110,gene
AT1G67070,gene,AT2G22480,gene
AT1G47840,gene,AT2G22480,gene
AT1G06020,gene,AT2G22480,gene
AT1G67070,gene,AT1G12000,gene
AT1G47840,gene,AT1G12000,gene
AT1G06020,gene,AT1G12000,gene
AT1G67070,gene,AT1G43670,gene
AT1G47840,gene,AT1G43670,gene
AT1G06020,gene,AT1G43670,gene
AT1G47840,gene,AT1G67070,gene
AT1G06020,gene,AT1G67070,gene
AT2G01140,gene,AT1G43670,gene
AT1G12000,gene,AT2G01140,gene
AT2G22480,gene,AT2G01140,gene
AT1G67070,gene,AT2G45790,gene
