,0,1,2
AT1G01050,AT1G01050,"ATPPA1,  PPA1,  PYROPHOSPHORYLASE 1",Encodes a soluble protein with inorganic pyrophosphatase activity that is highly specific for Mg-inorganic pyrophosphate.
AT1G01060,AT1G01060,"LATE ELONGATED HYPOCOTYL,  LATE ELONGATED HYPOCOTYL 1,  LHY,  LHY1",LHY encodes a myb-related putative transcription factor involved in circadian rhythm along with another myb transcription factor CCA1
AT1G01090,AT1G01090,"PDH-E1 ALPHA,  PYRUVATE DEHYDROGENASE E1 ALPHA",pyruvate dehydrogenase E1 alpha subunit
AT1G01120,AT1G01120,"3-KETOACYL-COA SYNTHASE 1,  KCS1",Encodes a condensing enzyme KCS1 (3-ketoacyl-CoA synthase 1) which is involved in the critical fatty acid elongation process in wax biosynthesis.
AT1G01290,AT1G01290,"CNX3,  COFACTOR OF NITRATE REDUCTASE AND XANTHINE DEHYDROGENASE 3","COFACTOR OF NITRATE REDUCTASE AND XANTHINE DEHYDROGENASE 3. Encodes a protein involved in molybdenum cofactor biosynthesis. Homologous to E.coli MoaC. Expression is low in all tissues examined, except in roots. Appears to have targeting signals for chloroplast or mitochondria"
AT1G01340,AT1G01340,"ACBK1,  ATCNGC10,  CNGC10,  CYCLIC NUCLEOTIDE GATED CHANNEL 10",member of Cyclic nucleotide gated channel family
AT1G01360,AT1G01360,"PYL9,  PYRABACTIN RESISTANCE 1-LIKE 9,  RCAR1,  REGULATORY COMPONENT OF ABA RECEPTOR 1",Encodes RCAR1 (regulatory components of ABA receptor).  Interacts with and regulates the type 2C protein phosphatases (PP2Cs) ABI1 and ABI2.  Functions as abscisic acid sensor. The mRNA is cell-to-cell mobile.
AT1G01460,AT1G01460,"ATPIPK11,  PIPK11","Type I phosphatidylinositol-4-phosphate 5-kinase, subfamily A."
AT1G01480,AT1G01480,"1-AMINO-CYCLOPROPANE-1-CARBOXYLATE SYNTHASE 2,  ACS2,  AT-ACC2","a member of the 1-aminocyclopropane-1-carboxylate (ACC) synthase (S-adenosyl-L-methionine methylthioadenosine-lyase, EC 4.4.1.14) gene family,  isolated from a flower-specific cDNA library."
AT1G01600,AT1G01600,"CYP86A4,  CYTOCHROME P450, FAMILY 86, SUBFAMILY A, POLYPEPTIDE 4",Encodes a member of the CYP86A subfamily of cytochrome p450 genes. Expressed significantly at highest level in mature stems and flowers.
AT1G01610,AT1G01610,"ATGPAT4,  GLYCEROL-3-PHOSPHATE SN-2-ACYLTRANSFERASE 4,  GPAT4",bifunctional sn-glycerol-3-phosphate 2-O-acyltransferase/phosphatase. Involved in cutin assembly and is functionally redundant with GPAT8.
AT1G01710,AT1G01710,,acyl-CoA thioesterase II;(source:Araport11)
AT1G01740,AT1G01740,"BRASSINOSTEROID-SIGNALING KINASE 4,  BSK4",kinase with tetratricopeptide repeat domain-containing protein;(source:Araport11)
AT1G02000,AT1G02000,"GAE2,  UDP-D-GLUCURONATE 4-EPIMERASE 2",UDP-D-glucuronate 4-epimerase The mRNA is cell-to-cell mobile.
AT1G02145,AT1G02145,"ALG12,  EBS4,  EMS-MUTAGENIZED BRI1(BRASSINOSTEROID INSENSITIVE 1) SUPPRESSOR 4,  HOMOLOG OF ASPARAGINE-LINKED GLYCOSYLATION 12",homolog of asparagine-linked glycosylation 12;(source:Araport11)
AT1G02190,AT1G02190,"CER1-L1,  ECERIFERUM1-LIKE1",Fatty acid hydroxylase superfamily;(source:Araport11)
AT1G02310,AT1G02310,"ENDO-BETA-MANNANASE 1,  MAN1",Glycosyl hydrolase superfamily protein;(source:Araport11)
AT1G02400,AT1G02400,"ARABIDOPSIS THALIANA GIBBERELLIN 2-OXIDASE 4,  ARABIDOPSIS THALIANA GIBBERELLIN 2-OXIDASE 6,  ATGA2OX4,  ATGA2OX6,  DOWNSTREAM TARGET OF AGL15 1,  DTA1,  GA2OX6,  GIBBERELLIN 2-OXIDASE 6",Encodes a gibberellin 2-oxidase that acts on C19 gibberellins but not C20 gibberellins.
